ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-BLG-RRLYR-01080	0.533	0.050	0.667	0.019	1.590	0.042	6690	100	0.342	0.087	0.824	0.099	0.475	0.028	-0.399	0.078	
OGLE-BLG-RRLYR-01081	0.609	0.050	0.742	0.019	1.711	0.042	6580	100	0.025	0.087	0.531	0.099	0.504	0.028	-0.753	0.077	
OGLE-BLG-RRLYR-01082	0.647	0.050	0.754	0.019	1.679	0.042	6370	99	0.088	0.087	0.626	0.099	0.546	0.028	-0.763	0.077	
OGLE-BLG-RRLYR-01085	0.585	0.051	0.687	0.019	1.634	0.042	6728	99	0.235	0.087	0.719	0.099	0.473	0.028	-0.495	0.077	
OGLE-BLG-RRLYR-01095	0.547	0.050	0.698	0.019	1.650	0.042	6700	99	0.174	0.087	0.657	0.098	0.477	0.028	-0.562	0.077	
OGLE-BLG-RRLYR-01096	0.625	0.050	0.761	0.019	1.680	0.042	6323	99	0.068	0.087	0.618	0.099	0.555	0.028	-0.800	0.077	
OGLE-BLG-RRLYR-01102	0.549	0.052	0.665	0.019	1.619	0.042	6820	100	0.283	0.088	0.746	0.099	0.452	0.028	-0.416	0.079	
OGLE-BLG-RRLYR-01103	0.662	0.052	0.706	0.019	1.637	0.042	6570	100	0.258	0.087	0.756	0.099	0.504	0.028	-0.530	0.078	
OGLE-BLG-RRLYR-01105	0.614	0.050	0.723	0.019	1.697	0.042	6680	99	0.078	0.087	0.563	0.099	0.482	0.028	-0.668	0.077	
OGLE-BLG-RRLYR-01109	0.645	0.052	0.723	0.020	1.641	0.043	6450	100	0.201	0.090	0.70	0.10	0.524	0.028	-0.618	0.081	
OGLE-BLG-RRLYR-01112	0.732	0.050	0.745	0.019	1.624	0.042	6227	99	0.257	0.087	0.824	0.098	0.576	0.028	-0.656	0.077	
OGLE-BLG-RRLYR-01136	0.624	0.050	0.754	0.019	1.747	0.042	6630	100	-0.054	0.087	0.448	0.098	0.495	0.028	-0.822	0.077	
OGLE-BLG-RRLYR-01140	0.555	0.049	0.758	0.019	1.784	0.042	6740	100	-0.136	0.087	0.338	0.098	0.468	0.028	-0.856	0.077	
OGLE-BLG-RRLYR-01142	0.674	0.052	0.710	0.020	1.616	0.043	6460	100	0.284	0.089	0.82	0.10	0.530	0.028	-0.534	0.079	
OGLE-BLG-RRLYR-01144	0.641	0.050	0.802	0.020	1.765	0.042	6340	100	-0.131	0.088	0.41	0.10	0.545	0.029	-0.979	0.078	
OGLE-BLG-RRLYR-01151	0.668	0.052	0.722	0.020	1.635	0.042	6440	100	0.229	0.087	0.754	0.099	0.532	0.028	-0.602	0.078	
OGLE-BLG-RRLYR-01154	0.565	0.050	0.708	0.019	1.692	0.042	6775	99	0.093	0.087	0.568	0.099	0.465	0.028	-0.627	0.077	
OGLE-BLG-RRLYR-01155	0.673	0.051	0.723	0.019	1.653	0.042	6500	100	0.184	0.087	0.705	0.099	0.522	0.028	-0.629	0.078	
OGLE-BLG-RRLYR-01160	0.615	0.051	0.691	0.019	1.563	0.042	6420	100	0.381	0.088	0.90	0.10	0.536	0.028	-0.454	0.078	
OGLE-BLG-RRLYR-01162	0.611	0.050	0.840	0.020	1.839	0.043	6320	100	-0.331	0.090	0.21	0.10	0.550	0.029	-1.186	0.079	
OGLE-BLG-RRLYR-01163	0.622	0.051	0.703	0.019	1.629	0.042	6576	99	0.234	0.087	0.749	0.099	0.508	0.028	-0.554	0.078	
OGLE-BLG-RRLYR-01164	0.686	0.050	0.757	0.019	1.713	0.042	6480	100	0.040	0.087	0.559	0.099	0.518	0.028	-0.762	0.077	
OGLE-BLG-RRLYR-01165	0.631	0.051	0.706	0.019	1.624	0.042	6530	100	0.234	0.087	0.757	0.099	0.518	0.028	-0.565	0.078	
OGLE-BLG-RRLYR-01170	0.532	0.050	0.676	0.019	1.612	0.042	6710	100	0.268	0.087	0.746	0.099	0.473	0.028	-0.465	0.077	
OGLE-BLG-RRLYR-01174	0.597	0.051	0.686	0.019	1.632	0.042	6710	100	0.242	0.087	0.724	0.099	0.475	0.028	-0.492	0.078	
OGLE-BLG-RRLYR-01179	0.664	0.051	0.716	0.019	1.624	0.042	6440	100	0.261	0.088	0.779	0.099	0.530	0.028	-0.566	0.078	
OGLE-BLG-RRLYR-01185	0.631	0.051	0.707	0.019	1.630	0.042	6540	100	0.248	0.087	0.747	0.098	0.509	0.028	-0.547	0.077	
OGLE-BLG-RRLYR-01187	0.703	0.053	0.737	0.020	1.683	0.042	6500	100	0.131	0.088	0.650	0.099	0.520	0.028	-0.683	0.080	
OGLE-BLG-RRLYR-01190	0.585	0.050	0.743	0.019	1.756	0.042	6750	100	-0.054	0.087	0.416	0.098	0.466	0.028	-0.780	0.079	
OGLE-BLG-RRLYR-01200	0.592	0.055	0.680	0.020	1.575	0.043	6540	100	0.344	0.089	0.86	0.10	0.517	0.028	-0.456	0.081	
OGLE-BLG-RRLYR-01202	0.597	0.051	0.765	0.020	1.683	0.042	6310	100	0.052	0.087	0.605	0.099	0.558	0.028	-0.824	0.078	
OGLE-BLG-RRLYR-01205	0.694	0.051	0.793	0.019	1.755	0.042	6350	100	-0.092	0.088	0.45	0.10	0.549	0.028	-0.946	0.079	
OGLE-BLG-RRLYR-01207	0.622	0.051	0.699	0.019	1.624	0.042	6590	100	0.248	0.087	0.760	0.099	0.504	0.028	-0.533	0.077	
OGLE-BLG-RRLYR-01211	0.607	0.051	0.703	0.019	1.657	0.042	6670	100	0.211	0.088	0.690	0.099	0.478	0.028	-0.531	0.078	
OGLE-BLG-RRLYR-01214	0.546	0.049	0.685	0.019	1.630	0.042	6720	100	0.228	0.087	0.709	0.098	0.475	0.028	-0.504	0.076	
OGLE-BLG-RRLYR-01215	0.630	0.056	0.693	0.020	1.660	0.043	6760	100	0.190	0.090	0.66	0.10	0.467	0.028	-0.533	0.082	
OGLE-BLG-RRLYR-01220	0.538	0.052	0.675	0.019	1.609	0.042	6718	99	0.277	0.088	0.76	0.10	0.477	0.028	-0.460	0.078	
OGLE-BLG-RRLYR-01241	0.572	0.053	0.689	0.020	1.632	0.043	6680	110	0.229	0.089	0.71	0.10	0.479	0.029	-0.515	0.080	
OGLE-BLG-RRLYR-01244	0.612	0.056	0.768	0.021	1.765	0.043	6600	120	-0.116	0.090	0.39	0.10	0.504	0.032	-0.897	0.087	
OGLE-BLG-RRLYR-01245	0.710	0.058	0.748	0.022	1.663	0.045	6350	110	0.147	0.092	0.68	0.10	0.552	0.029	-0.716	0.084	
OGLE-BLG-RRLYR-01252	0.651	0.058	0.720	0.020	1.679	0.044	6630	100	0.131	0.090	0.63	0.10	0.496	0.029	-0.638	0.083	
OGLE-BLG-RRLYR-01253	0.583	0.051	0.757	0.019	1.758	0.042	6650	110	-0.085	0.087	0.40	0.10	0.493	0.030	-0.852	0.079	
OGLE-BLG-RRLYR-01255	0.621	0.057	0.719	0.022	1.624	0.044	6420	110	0.229	0.091	0.75	0.10	0.535	0.029	-0.603	0.084	
OGLE-BLG-RRLYR-01258	0.664	0.053	0.750	0.021	1.642	0.043	6280	100	0.176	0.089	0.73	0.10	0.568	0.029	-0.706	0.081	
OGLE-BLG-RRLYR-01259	0.582	0.057	0.698	0.020	1.657	0.043	6720	100	0.181	0.089	0.66	0.10	0.473	0.029	-0.551	0.082	
OGLE-BLG-RRLYR-01297	0.572	0.051	0.711	0.020	1.732	0.042	6880	110	0.027	0.088	0.44	0.10	0.429	0.031	-0.639	0.081	
OGLE-BLG-RRLYR-01314	0.566	0.051	0.678	0.019	1.632	0.042	6760	100	0.245	0.088	0.707	0.099	0.458	0.029	-0.469	0.078	
OGLE-BLG-RRLYR-01327	0.648	0.055	0.739	0.021	1.650	0.044	6380	100	0.168	0.089	0.69	0.10	0.540	0.029	-0.679	0.081	
OGLE-BLG-RRLYR-01330	0.663	0.059	0.723	0.022	1.657	0.044	6510	110	0.192	0.091	0.68	0.10	0.511	0.030	-0.604	0.085	
OGLE-BLG-RRLYR-01363	0.638	0.056	0.713	0.020	1.648	0.043	6570	100	0.178	0.089	0.69	0.10	0.510	0.028	-0.608	0.081	
OGLE-BLG-RRLYR-01381	0.553	0.056	0.684	0.020	1.636	0.043	6750	110	0.224	0.089	0.70	0.10	0.466	0.029	-0.496	0.082	
OGLE-BLG-RRLYR-01388	0.569	0.058	0.676	0.021	1.610	0.044	6700	100	0.286	0.090	0.77	0.10	0.477	0.029	-0.454	0.082	
OGLE-BLG-RRLYR-01409	0.586	0.053	0.810	0.022	1.798	0.044	6390	110	-0.221	0.091	0.31	0.10	0.538	0.030	-1.055	0.084	
OGLE-BLG-RRLYR-01446	0.691	0.055	0.795	0.021	1.758	0.044	6350	100	-0.102	0.092	0.43	0.10	0.548	0.029	-0.956	0.085	
OGLE-BLG-RRLYR-01449	0.642	0.059	0.724	0.021	1.654	0.044	6490	100	0.166	0.090	0.68	0.10	0.522	0.029	-0.645	0.083	
OGLE-BLG-RRLYR-01460	0.619	0.060	0.706	0.021	1.617	0.045	6480	110	0.242	0.092	0.75	0.10	0.524	0.029	-0.575	0.085	
OGLE-BLG-RRLYR-01464	0.642	0.063	0.761	0.022	1.710	0.045	6440	110	0.000	0.092	0.55	0.10	0.539	0.030	-0.831	0.088	
OGLE-BLG-RRLYR-01470	0.538	0.055	0.671	0.021	1.594	0.043	6690	110	0.319	0.089	0.81	0.10	0.479	0.030	-0.418	0.082	
OGLE-BLG-RRLYR-01483	0.741	0.057	0.759	0.021	1.709	0.044	6450	110	0.083	0.091	0.60	0.10	0.529	0.029	-0.740	0.084	
OGLE-BLG-RRLYR-01507	0.611	0.057	0.761	0.022	1.763	0.044	6630	110	-0.091	0.092	0.40	0.10	0.491	0.030	-0.851	0.087	
OGLE-BLG-RRLYR-01523	0.673	0.055	0.740	0.021	1.672	0.043	6440	100	0.141	0.089	0.65	0.10	0.527	0.029	-0.681	0.081	
OGLE-BLG-RRLYR-01539	0.675	0.056	0.732	0.021	1.661	0.043	6460	110	0.173	0.089	0.67	0.10	0.523	0.030	-0.643	0.083	
OGLE-BLG-RRLYR-01544	0.618	0.060	0.713	0.022	1.625	0.045	6470	100	0.226	0.091	0.75	0.10	0.526	0.029	-0.593	0.085	
OGLE-BLG-RRLYR-01545	0.669	0.057	0.737	0.021	1.655	0.044	6400	100	0.169	0.090	0.69	0.10	0.537	0.028	-0.670	0.082	
OGLE-BLG-RRLYR-01559	0.634	0.050	0.729	0.019	1.593	0.042	6250	100	0.280	0.087	0.845	0.099	0.577	0.028	-0.628	0.077	
OGLE-BLG-RRLYR-01563	0.671	0.051	0.714	0.019	1.643	0.042	6540	100	0.215	0.087	0.739	0.099	0.518	0.028	-0.590	0.078	
