ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-SMC-RRLYR-0382	0.657	0.053	0.756	0.021	1.712	0.042	6490	100	0.037	0.089	0.557	0.099	0.519	0.029	-0.763	0.081	
OGLE-SMC-RRLYR-0390	0.701	0.059	0.780	0.022	1.756	0.043	6450	110	-0.064	0.090	0.46	0.10	0.528	0.030	-0.887	0.087	
OGLE-SMC-RRLYR-0391	0.732	0.052	0.780	0.020	1.702	0.043	6270	100	0.040	0.089	0.59	0.10	0.566	0.028	-0.843	0.080	
OGLE-SMC-RRLYR-0398	0.643	0.061	0.760	0.023	1.759	0.043	6620	120	-0.070	0.091	0.430	0.099	0.494	0.031	-0.837	0.090	
OGLE-SMC-RRLYR-0404	0.671	0.057	0.770	0.021	1.751	0.044	6520	110	-0.068	0.090	0.44	0.10	0.519	0.031	-0.876	0.087	
OGLE-SMC-RRLYR-0416	0.586	0.052	0.742	0.020	1.735	0.042	6670	110	-0.026	0.088	0.464	0.099	0.487	0.029	-0.783	0.081	
OGLE-SMC-RRLYR-0422	0.629	0.058	0.736	0.022	1.685	0.043	6520	110	0.092	0.090	0.60	0.10	0.513	0.030	-0.705	0.086	
OGLE-SMC-RRLYR-0427	0.691	0.059	0.739	0.021	1.726	0.044	6650	100	0.053	0.089	0.54	0.10	0.484	0.029	-0.701	0.082	
OGLE-SMC-RRLYR-0435	0.732	0.054	0.800	0.021	1.751	0.043	6300	100	-0.078	0.090	0.47	0.10	0.561	0.029	-0.955	0.081	
OGLE-SMC-RRLYR-0448	0.708	0.058	0.764	0.021	1.743	0.044	6520	110	-0.016	0.090	0.51	0.10	0.516	0.029	-0.815	0.085	
OGLE-SMC-RRLYR-0450	0.617	0.058	0.727	0.022	1.667	0.043	6520	110	0.151	0.090	0.66	0.10	0.512	0.030	-0.646	0.086	
OGLE-SMC-RRLYR-0463	0.796	0.058	0.774	0.021	1.769	0.043	6540	100	-0.060	0.090	0.46	0.10	0.515	0.029	-0.863	0.083	
OGLE-SMC-RRLYR-0471	0.609	0.059	0.731	0.022	1.696	0.043	6600	110	0.068	0.091	0.57	0.10	0.495	0.030	-0.702	0.088	
OGLE-SMC-RRLYR-0475	0.723	0.052	0.771	0.020	1.709	0.042	6370	100	0.042	0.088	0.586	0.099	0.548	0.029	-0.802	0.080	
OGLE-SMC-RRLYR-0477	0.679	0.056	0.749	0.021	1.690	0.043	6430	110	0.076	0.089	0.60	0.10	0.535	0.030	-0.759	0.084	
OGLE-SMC-RRLYR-0481	0.743	0.052	0.793	0.020	1.715	0.043	6230	100	0.009	0.089	0.58	0.10	0.576	0.028	-0.883	0.079	
OGLE-SMC-RRLYR-0485	0.534	0.057	0.713	0.022	1.660	0.044	6600	100	0.144	0.091	0.64	0.10	0.495	0.029	-0.624	0.085	
OGLE-SMC-RRLYR-0490	0.661	0.058	0.749	0.021	1.713	0.043	6530	110	0.034	0.089	0.555	0.099	0.513	0.030	-0.761	0.084	
OGLE-SMC-RRLYR-0493	0.682	0.056	0.759	0.022	1.698	0.043	6380	110	0.049	0.090	0.57	0.10	0.542	0.030	-0.801	0.085	
OGLE-SMC-RRLYR-0496	0.635	0.059	0.775	0.023	1.752	0.044	6460	110	-0.086	0.093	0.43	0.10	0.526	0.030	-0.910	0.090	
OGLE-SMC-RRLYR-0505	0.659	0.054	0.761	0.020	1.717	0.042	6450	100	0.002	0.089	0.531	0.099	0.528	0.029	-0.818	0.082	
OGLE-SMC-RRLYR-0509	0.712	0.057	0.757	0.021	1.700	0.043	6420	110	0.082	0.090	0.61	0.10	0.535	0.030	-0.754	0.085	
OGLE-SMC-RRLYR-0517	0.628	0.059	0.734	0.021	1.697	0.043	6570	110	0.055	0.090	0.58	0.10	0.506	0.029	-0.715	0.085	
OGLE-SMC-RRLYR-0518	0.717	0.051	0.805	0.020	1.733	0.043	6210	110	-0.062	0.089	0.51	0.10	0.582	0.029	-0.973	0.079	
OGLE-SMC-RRLYR-0520	0.659	0.056	0.733	0.020	1.659	0.042	6430	110	0.119	0.089	0.680	0.099	0.543	0.029	-0.721	0.082	
OGLE-SMC-RRLYR-0536	0.594	0.057	0.754	0.022	1.755	0.043	6650	110	-0.060	0.090	0.43	0.10	0.482	0.030	-0.804	0.086	
OGLE-SMC-RRLYR-0538	0.639	0.054	0.754	0.020	1.682	0.043	6390	110	0.100	0.089	0.63	0.10	0.537	0.029	-0.738	0.081	
OGLE-SMC-RRLYR-0543	0.657	0.062	0.721	0.022	1.702	0.044	6700	110	0.094	0.092	0.58	0.10	0.478	0.030	-0.649	0.090	
OGLE-SMC-RRLYR-0544	0.691	0.060	0.758	0.023	1.689	0.045	6370	110	0.079	0.091	0.61	0.10	0.546	0.031	-0.774	0.087	
OGLE-SMC-RRLYR-0549	0.688	0.063	0.747	0.022	1.686	0.043	6430	110	0.066	0.091	0.62	0.10	0.538	0.030	-0.762	0.087	
OGLE-SMC-RRLYR-0550	0.621	0.058	0.730	0.021	1.691	0.043	6570	110	0.079	0.090	0.59	0.10	0.505	0.029	-0.705	0.085	
OGLE-SMC-RRLYR-0552	0.610	0.059	0.716	0.022	1.631	0.043	6480	110	0.236	0.090	0.75	0.10	0.520	0.030	-0.576	0.085	
OGLE-SMC-RRLYR-0558	0.702	0.059	0.799	0.022	1.806	0.044	6510	110	-0.195	0.092	0.34	0.10	0.526	0.031	-1.012	0.089	
OGLE-SMC-RRLYR-0565	0.662	0.061	0.743	0.023	1.689	0.044	6500	120	0.106	0.092	0.61	0.10	0.519	0.031	-0.705	0.092	
OGLE-SMC-RRLYR-0603	0.709	0.055	0.801	0.021	1.820	0.043	6530	100	-0.242	0.090	0.28	0.10	0.511	0.029	-1.020	0.083	
OGLE-SMC-RRLYR-0604	0.658	0.056	0.740	0.020	1.694	0.043	6510	100	0.067	0.088	0.60	0.10	0.517	0.029	-0.726	0.081	
OGLE-SMC-RRLYR-0605	0.566	0.053	0.721	0.020	1.605	0.044	6350	100	0.237	0.091	0.78	0.10	0.549	0.029	-0.627	0.080	
OGLE-SMC-RRLYR-0610	0.579	0.063	0.701	0.022	1.658	0.044	6700	110	0.171	0.091	0.66	0.10	0.480	0.029	-0.572	0.087	
OGLE-SMC-RRLYR-0612	0.626	0.061	0.716	0.022	1.695	0.044	6710	110	0.109	0.091	0.59	0.10	0.473	0.031	-0.625	0.088	
OGLE-SMC-RRLYR-0623	0.599	0.054	0.706	0.021	1.605	0.043	6460	100	0.255	0.090	0.79	0.10	0.536	0.029	-0.568	0.082	
OGLE-SMC-RRLYR-0633	0.645	0.059	0.722	0.021	1.663	0.044	6550	110	0.151	0.090	0.66	0.10	0.512	0.030	-0.646	0.084	
OGLE-SMC-RRLYR-0644	0.675	0.063	0.758	0.023	1.706	0.045	6430	120	0.032	0.093	0.56	0.10	0.534	0.032	-0.792	0.091	
OGLE-SMC-RRLYR-0650	0.723	0.055	0.775	0.020	1.717	0.043	6350	110	0.023	0.089	0.56	0.10	0.546	0.030	-0.827	0.081	
OGLE-SMC-RRLYR-0651	0.713	0.062	0.759	0.022	1.718	0.045	6480	110	0.010	0.093	0.55	0.10	0.531	0.030	-0.814	0.090	
OGLE-SMC-RRLYR-0662	0.653	0.059	0.768	0.022	1.752	0.043	6530	110	-0.062	0.090	0.44	0.10	0.506	0.030	-0.855	0.087	
OGLE-SMC-RRLYR-0669	0.582	0.055	0.719	0.020	1.632	0.045	6530	110	0.195	0.094	0.72	0.11	0.518	0.031	-0.607	0.083	
OGLE-SMC-RRLYR-0680	0.667	0.056	0.742	0.021	1.651	0.043	6350	110	0.137	0.091	0.70	0.10	0.560	0.030	-0.729	0.084	
OGLE-SMC-RRLYR-0683	0.613	0.059	0.725	0.021	1.675	0.043	6580	100	0.127	0.089	0.63	0.10	0.503	0.029	-0.649	0.083	
OGLE-SMC-RRLYR-0686	0.723	0.053	0.780	0.021	1.691	0.043	6250	100	0.061	0.089	0.64	0.10	0.582	0.029	-0.831	0.082	
OGLE-SMC-RRLYR-0696	0.718	0.053	0.772	0.021	1.715	0.042	6390	100	0.039	0.089	0.566	0.099	0.541	0.029	-0.802	0.081	
OGLE-SMC-RRLYR-0698	0.679	0.059	0.739	0.021	1.697	0.044	6550	110	0.076	0.091	0.58	0.10	0.509	0.029	-0.715	0.087	
OGLE-SMC-RRLYR-0700	0.643	0.056	0.736	0.020	1.688	0.043	6530	110	0.089	0.089	0.61	0.10	0.514	0.030	-0.702	0.081	
OGLE-SMC-RRLYR-0709	0.640	0.061	0.726	0.022	1.672	0.043	6550	110	0.158	0.090	0.66	0.10	0.506	0.030	-0.631	0.086	
OGLE-SMC-RRLYR-0726	0.651	0.055	0.736	0.021	1.716	0.042	6640	110	0.042	0.089	0.546	0.099	0.491	0.029	-0.717	0.083	
OGLE-SMC-RRLYR-0727	0.667	0.055	0.717	0.021	1.597	0.043	6330	110	0.310	0.090	0.85	0.10	0.554	0.029	-0.553	0.084	
OGLE-SMC-RRLYR-0731	0.644	0.058	0.734	0.021	1.700	0.044	6580	110	0.064	0.091	0.58	0.10	0.503	0.030	-0.714	0.085	
