ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-RRLYR-00755	0.597	0.052	0.717	0.019	1.676	0.042	6640	100	0.137	0.087	0.629	0.098	0.488	0.028	-0.619	0.078	
OGLE-LMC-RRLYR-00756	0.576	0.056	0.749	0.021	1.733	0.042	6590	120	-0.040	0.089	0.46	0.10	0.488	0.033	-0.808	0.085	
OGLE-LMC-RRLYR-00759	0.622	0.051	0.718	0.019	1.661	0.042	6570	100	0.154	0.087	0.663	0.099	0.504	0.028	-0.630	0.078	
OGLE-LMC-RRLYR-00761	0.660	0.054	0.728	0.020	1.688	0.043	6600	100	0.102	0.088	0.614	0.099	0.503	0.028	-0.676	0.080	
OGLE-LMC-RRLYR-00763	0.595	0.051	0.741	0.019	1.692	0.044	6540	110	0.057	0.092	0.55	0.11	0.491	0.030	-0.706	0.078	
OGLE-LMC-RRLYR-00765	0.633	0.052	0.750	0.020	1.712	0.042	6520	100	0.021	0.088	0.54	0.10	0.517	0.028	-0.781	0.079	
OGLE-LMC-RRLYR-00766	0.540	0.066	0.684	0.025	1.640	0.047	6760	110	0.243	0.097	0.70	0.11	0.458	0.031	-0.472	0.095	
OGLE-LMC-RRLYR-00777	0.598	0.058	0.716	0.021	1.652	0.043	6550	110	0.189	0.090	0.68	0.10	0.504	0.030	-0.594	0.085	
OGLE-LMC-RRLYR-00796	0.637	0.052	0.711	0.019	1.674	0.042	6680	100	0.150	0.087	0.645	0.099	0.483	0.028	-0.600	0.079	
OGLE-LMC-RRLYR-00801	0.684	0.050	0.749	0.019	1.666	0.042	6360	100	0.139	0.087	0.677	0.098	0.547	0.028	-0.712	0.077	
OGLE-LMC-RRLYR-00807	0.619	0.052	0.745	0.020	1.743	0.042	6700	100	-0.023	0.088	0.465	0.099	0.479	0.029	-0.764	0.079	
OGLE-LMC-RRLYR-00810	0.647	0.051	0.735	0.020	1.651	0.042	6420	100	0.174	0.088	0.69	0.10	0.535	0.028	-0.660	0.078	
OGLE-LMC-RRLYR-00812	0.592	0.050	0.704	0.019	1.594	0.042	6440	100	0.276	0.088	0.827	0.099	0.545	0.028	-0.563	0.078	
OGLE-LMC-RRLYR-00816	0.611	0.050	0.735	0.019	1.636	0.042	6400	100	0.172	0.089	0.71	0.10	0.539	0.028	-0.662	0.077	
OGLE-LMC-RRLYR-00822	0.617	0.050	0.722	0.019	1.682	0.042	6630	100	0.110	0.087	0.611	0.099	0.493	0.028	-0.654	0.077	
OGLE-LMC-RRLYR-00830	0.650	0.051	0.732	0.019	1.694	0.042	6600	100	0.093	0.087	0.602	0.098	0.500	0.028	-0.682	0.077	
OGLE-LMC-RRLYR-00848	0.633	0.053	0.734	0.020	1.667	0.042	6470	100	0.147	0.088	0.662	0.099	0.522	0.029	-0.667	0.080	
OGLE-LMC-RRLYR-00858	0.634	0.051	0.718	0.019	1.684	0.042	6670	100	0.117	0.087	0.614	0.098	0.486	0.028	-0.636	0.078	
OGLE-LMC-RRLYR-00861	0.614	0.052	0.728	0.020	1.650	0.042	6450	100	0.171	0.087	0.690	0.099	0.526	0.028	-0.650	0.079	
OGLE-LMC-RRLYR-00863	0.629	0.055	0.716	0.020	1.697	0.043	6720	100	0.101	0.089	0.589	0.099	0.473	0.028	-0.632	0.082	
