ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-CEP-1984	5.47	0.45	1.665	0.016	3.341	0.050	5800	110	-4.21	0.12	-3.51	0.15	0.696	0.034	-5.290	0.086	
OGLE-LMC-CEP-1986	5.47	0.46	1.639	0.016	3.284	0.051	5790	110	-4.07	0.12	-3.37	0.15	0.699	0.034	-5.157	0.090	
OGLE-LMC-CEP-1990	5.30	0.45	1.576	0.016	3.157	0.050	5800	110	-3.76	0.12	-3.06	0.15	0.696	0.034	-4.842	0.086	
OGLE-LMC-CEP-1999	5.39	0.43	1.587	0.015	3.198	0.049	5860	110	-3.85	0.11	-3.18	0.14	0.678	0.034	-4.909	0.082	
OGLE-LMC-CEP-2013	5.35	0.43	1.574	0.015	3.172	0.050	5860	110	-3.79	0.12	-3.11	0.15	0.679	0.034	-4.845	0.085	
OGLE-LMC-CEP-2015	6.45	0.39	1.731	0.013	3.507	0.047	5910	110	-4.62	0.11	-3.95	0.14	0.659	0.034	-5.640	0.074	
OGLE-LMC-CEP-2017	5.33	0.42	1.629	0.015	3.299	0.049	5910	110	-4.09	0.12	-3.43	0.14	0.665	0.034	-5.126	0.083	
OGLE-LMC-CEP-2018	5.64	0.36	1.741	0.012	3.482	0.046	5770	110	-4.58	0.10	-3.87	0.13	0.704	0.034	-5.670	0.069	
OGLE-LMC-CEP-2022	5.49	0.43	1.681	0.014	3.394	0.048	5880	110	-4.34	0.11	-3.66	0.14	0.673	0.034	-5.386	0.079	
OGLE-LMC-CEP-2027	5.33	0.44	1.608	0.015	3.248	0.048	5880	110	-3.99	0.11	-3.33	0.14	0.660	0.034	-5.020	0.082	
OGLE-LMC-CEP-2028	6.04	0.35	1.784	0.012	3.543	0.047	5690	110	-4.74	0.11	-4.02	0.14	0.728	0.035	-5.876	0.068	
OGLE-LMC-CEP-2036	5.50	0.42	1.613	0.015	3.275	0.049	5950	110	-4.03	0.11	-3.38	0.14	0.652	0.034	-5.046	0.082	
OGLE-LMC-CEP-2042	5.89	0.36	1.747	0.012	3.493	0.046	5770	110	-4.60	0.11	-3.91	0.14	0.702	0.034	-5.703	0.071	
OGLE-LMC-CEP-2050	5.91	0.36	1.754	0.012	3.516	0.047	5800	110	-4.66	0.11	-3.96	0.14	0.696	0.035	-5.739	0.069	
OGLE-LMC-CEP-2051	5.39	0.37	1.739	0.012	3.484	0.046	5800	110	-4.57	0.11	-3.88	0.14	0.696	0.034	-5.663	0.070	
OGLE-LMC-CEP-2066	5.99	0.36	1.764	0.012	3.548	0.048	5840	110	-4.73	0.11	-4.05	0.14	0.683	0.035	-5.799	0.069	
OGLE-LMC-CEP-2090	5.62	0.36	1.742	0.012	3.480	0.045	5760	110	-4.57	0.10	-3.86	0.13	0.708	0.034	-5.674	0.068	
OGLE-LMC-CEP-2105	5.31	0.40	1.620	0.014	3.246	0.047	5800	110	-3.98	0.11	-3.28	0.14	0.699	0.034	-5.065	0.077	
OGLE-LMC-CEP-2109	6.27	0.37	1.729	0.012	3.475	0.046	5830	110	-4.55	0.10	-3.86	0.14	0.685	0.034	-5.615	0.069	
OGLE-LMC-CEP-2113	5.41	0.44	1.614	0.016	3.228	0.050	5790	110	-3.94	0.12	-3.24	0.15	0.703	0.034	-5.030	0.086	
OGLE-LMC-CEP-2121	5.39	0.44	1.583	0.017	3.188	0.052	5860	110	-3.82	0.12	-3.14	0.15	0.685	0.034	-4.888	0.091	
OGLE-LMC-CEP-2132	5.54	0.42	1.619	0.015	3.234	0.049	5770	110	-3.95	0.11	-3.25	0.14	0.704	0.034	-5.048	0.081	
OGLE-LMC-CEP-2152	5.35	0.42	1.674	0.014	3.334	0.048	5720	110	-4.21	0.11	-3.49	0.14	0.718	0.034	-5.329	0.080	
OGLE-LMC-CEP-2170	5.86	0.40	1.708	0.014	3.397	0.050	5700	110	-4.38	0.12	-3.65	0.15	0.722	0.034	-5.496	0.080	
OGLE-LMC-CEP-2171	5.50	0.46	1.621	0.017	3.237	0.053	5770	110	-3.96	0.13	-3.26	0.15	0.705	0.034	-5.056	0.093	
OGLE-LMC-CEP-2174	6.11	0.36	1.787	0.012	3.568	0.049	5760	120	-4.79	0.11	-4.09	0.15	0.708	0.037	-5.901	0.070	
OGLE-LMC-CEP-2177	5.26	0.41	1.558	0.014	3.136	0.048	5860	110	-3.70	0.11	-3.02	0.14	0.682	0.034	-4.761	0.080	
OGLE-LMC-CEP-2194	5.11	0.44	1.651	0.015	3.354	0.048	5940	110	-4.23	0.11	-3.57	0.14	0.657	0.034	-5.248	0.081	
OGLE-LMC-CEP-2204	5.95	0.36	1.764	0.012	3.548	0.047	5840	110	-4.73	0.11	-4.05	0.14	0.683	0.035	-5.801	0.069	
OGLE-LMC-CEP-2205	5.44	0.47	1.684	0.016	3.387	0.052	5830	110	-4.32	0.12	-3.63	0.15	0.688	0.036	-5.396	0.089	
OGLE-LMC-CEP-2225	6.05	0.35	1.748	0.011	3.467	0.045	5670	110	-4.55	0.10	-3.81	0.13	0.734	0.034	-5.693	0.066	
OGLE-LMC-CEP-2226	5.39	0.41	1.616	0.014	3.250	0.048	5840	110	-3.98	0.11	-3.29	0.14	0.688	0.034	-5.052	0.080	
OGLE-LMC-CEP-2234	5.22	0.40	1.611	0.014	3.237	0.047	5830	110	-3.95	0.11	-3.26	0.14	0.692	0.034	-5.028	0.077	
OGLE-LMC-CEP-2244	5.22	0.42	1.586	0.015	3.167	0.049	5770	110	-3.78	0.12	-3.08	0.14	0.710	0.034	-4.887	0.083	
OGLE-LMC-CEP-2249	5.79	0.45	1.700	0.016	3.463	0.052	5970	110	-4.49	0.12	-3.84	0.15	0.643	0.035	-5.495	0.089	
OGLE-LMC-CEP-2262	5.97	0.35	1.768	0.012	3.530	0.046	5750	110	-4.71	0.10	-3.99	0.14	0.709	0.034	-5.812	0.067	
OGLE-LMC-CEP-2265	5.53	0.41	1.623	0.014	3.274	0.048	5870	110	-4.04	0.11	-3.37	0.14	0.675	0.034	-5.091	0.079	
OGLE-LMC-CEP-2269	5.73	0.36	1.739	0.012	3.472	0.047	5760	110	-4.56	0.11	-3.86	0.14	0.704	0.034	-5.656	0.070	
OGLE-LMC-CEP-2281	5.38	0.42	1.569	0.015	3.179	0.049	5930	110	-3.79	0.11	-3.14	0.14	0.660	0.034	-4.828	0.081	
OGLE-LMC-CEP-2284	5.23	0.42	1.556	0.015	3.160	0.049	5950	110	-3.74	0.11	-3.09	0.14	0.653	0.034	-4.767	0.082	
OGLE-LMC-CEP-2298	5.32	0.41	1.563	0.014	3.165	0.048	5910	110	-3.76	0.11	-3.10	0.14	0.663	0.034	-4.797	0.079	
OGLE-LMC-CEP-2305	5.46	0.44	1.634	0.016	3.282	0.049	5820	110	-4.06	0.12	-3.37	0.14	0.692	0.034	-5.140	0.084	
OGLE-LMC-CEP-2308	5.63	0.40	1.677	0.014	3.356	0.047	5770	110	-4.26	0.11	-3.55	0.14	0.702	0.034	-5.353	0.077	
OGLE-LMC-CEP-2318	5.62	0.49	1.611	0.018	3.212	0.055	5760	110	-3.90	0.13	-3.19	0.16	0.711	0.034	-5.003	0.099	
OGLE-LMC-CEP-2329	6.17	0.44	1.697	0.015	3.461	0.051	5980	110	-4.49	0.12	-3.84	0.15	0.640	0.035	-5.483	0.085	
OGLE-LMC-CEP-2335	5.38	0.41	1.624	0.014	3.275	0.047	5850	110	-4.04	0.11	-3.36	0.14	0.681	0.034	-5.099	0.078	
OGLE-LMC-CEP-2337	5.55	0.41	1.885	0.013	3.635	0.071	5340	170	-5.01	0.16	-4.16	0.22	0.849	0.055	-6.331	0.091	
OGLE-LMC-CEP-2340	5.26	0.39	1.602	0.014	3.248	0.048	5920	110	-3.96	0.11	-3.29	0.14	0.664	0.034	-4.993	0.077	
OGLE-LMC-CEP-2349	5.61	0.48	1.639	0.017	3.285	0.052	5790	110	-4.08	0.12	-3.38	0.15	0.700	0.034	-5.165	0.093	
OGLE-LMC-CEP-2353	5.41	0.49	1.615	0.018	3.279	0.053	5940	110	-4.04	0.12	-3.39	0.15	0.652	0.034	-5.059	0.095	
OGLE-LMC-CEP-2354	5.38	0.45	1.595	0.016	3.193	0.052	5800	110	-3.85	0.12	-3.15	0.15	0.697	0.034	-4.934	0.090	
OGLE-LMC-CEP-2376	5.29	0.42	1.644	0.015	3.297	0.048	5790	110	-4.10	0.11	-3.40	0.14	0.698	0.034	-5.188	0.080	
OGLE-LMC-CEP-2401	5.49	0.37	1.644	0.012	3.170	0.046	5390	110	-3.83	0.10	-3.01	0.13	0.820	0.034	-5.108	0.069	
OGLE-LMC-CEP-2417	5.23	0.45	1.556	0.016	3.143	0.051	5890	110	-3.71	0.12	-3.04	0.15	0.671	0.034	-4.758	0.090	
OGLE-LMC-CEP-2418	5.40	0.43	1.586	0.015	3.177	0.050	5810	110	-3.81	0.12	-3.12	0.15	0.694	0.034	-4.889	0.084	
OGLE-LMC-CEP-2425	5.65	0.38	1.740	0.013	3.476	0.047	5750	110	-4.57	0.11	-3.85	0.14	0.709	0.035	-5.666	0.074	
OGLE-LMC-CEP-2454	5.29	0.42	1.613	0.015	3.253	0.049	5860	110	-3.98	0.11	-3.30	0.14	0.681	0.034	-5.045	0.082	
OGLE-LMC-CEP-2490	5.36	0.40	1.594	0.014	3.227	0.048	5910	110	-3.91	0.11	-3.25	0.14	0.667	0.034	-4.955	0.079	
OGLE-LMC-CEP-2519	5.23	0.39	1.570	0.014	3.181	0.048	5930	110	-3.79	0.11	-3.13	0.14	0.663	0.034	-4.830	0.077	
OGLE-LMC-CEP-2530	5.54	0.42	1.605	0.015	3.227	0.050	5840	110	-3.93	0.12	-3.25	0.15	0.684	0.034	-4.996	0.083	
OGLE-LMC-CEP-2543	5.49	0.40	1.591	0.014	3.211	0.048	5890	110	-3.88	0.11	-3.21	0.14	0.671	0.034	-4.930	0.078	
OGLE-LMC-CEP-2544	5.51	0.38	1.806	0.012	3.610	0.051	5750	120	-4.91	0.12	-4.20	0.15	0.710	0.039	-6.029	0.074	
OGLE-LMC-CEP-2551	5.17	0.41	1.600	0.014	3.269	0.048	5990	110	-4.00	0.11	-3.36	0.14	0.641	0.034	-4.996	0.080	
OGLE-LMC-CEP-2568	5.44	0.40	1.630	0.014	3.288	0.047	5860	110	-4.07	0.11	-3.40	0.14	0.676	0.034	-5.124	0.075	
OGLE-LMC-CEP-2571	5.37	0.40	1.604	0.014	3.217	0.048	5810	110	-3.90	0.11	-3.21	0.14	0.696	0.034	-4.985	0.077	
OGLE-LMC-CEP-2596	5.16	0.42	1.621	0.014	3.259	0.048	5830	110	-4.00	0.11	-3.31	0.14	0.691	0.034	-5.081	0.080	
OGLE-LMC-CEP-2598	5.35	0.41	1.648	0.014	3.291	0.048	5750	110	-4.10	0.11	-3.38	0.14	0.710	0.034	-5.203	0.078	
OGLE-LMC-CEP-2600	5.41	0.41	1.620	0.014	3.257	0.048	5840	110	-4.00	0.11	-3.31	0.14	0.688	0.034	-5.070	0.079	
OGLE-LMC-CEP-2604	5.43	0.41	1.650	0.014	3.290	0.048	5730	110	-4.10	0.11	-3.38	0.14	0.716	0.034	-5.209	0.080	
OGLE-LMC-CEP-2610	5.68	0.44	1.700	0.015	3.411	0.048	5820	110	-4.39	0.11	-3.70	0.14	0.692	0.034	-5.466	0.080	
OGLE-LMC-CEP-2612	5.50	0.44	1.666	0.016	3.323	0.050	5740	110	-4.18	0.12	-3.46	0.15	0.713	0.034	-5.286	0.086	
OGLE-LMC-CEP-2620	5.29	0.43	1.567	0.015	3.130	0.050	5780	110	-3.69	0.12	-2.99	0.15	0.704	0.034	-4.790	0.084	
OGLE-LMC-CEP-2637	5.23	0.44	1.563	0.016	3.194	0.051	6000	110	-3.81	0.12	-3.18	0.15	0.638	0.034	-4.815	0.088	
OGLE-LMC-CEP-2638	5.70	0.40	1.623	0.014	3.234	0.048	5750	110	-3.95	0.11	-3.24	0.14	0.715	0.034	-5.064	0.079	
OGLE-LMC-CEP-2663	5.42	0.42	1.594	0.015	3.195	0.049	5810	110	-3.85	0.12	-3.15	0.14	0.698	0.034	-4.935	0.082	
OGLE-LMC-CEP-2675	5.36	0.39	1.716	0.014	3.429	0.050	5750	110	-4.45	0.11	-3.74	0.15	0.710	0.035	-5.547	0.077	
OGLE-LMC-CEP-2676	6.16	0.40	1.708	0.014	3.450	0.047	5880	110	-4.48	0.11	-3.81	0.14	0.667	0.034	-5.516	0.077	
OGLE-LMC-CEP-2760	5.19	0.41	1.591	0.014	3.175	0.048	5760	110	-3.80	0.11	-3.09	0.14	0.713	0.034	-4.914	0.079	
OGLE-LMC-CEP-2765	5.83	0.37	1.814	0.012	3.566	0.045	5590	110	-4.83	0.10	-4.07	0.13	0.755	0.035	-6.002	0.066	
OGLE-LMC-CEP-2768	5.31	0.41	1.614	0.014	3.220	0.048	5750	110	-3.92	0.11	-3.21	0.14	0.712	0.034	-5.026	0.078	
OGLE-LMC-CEP-2775	5.61	0.36	1.770	0.012	3.580	0.046	5910	110	-4.83	0.10	-4.18	0.13	0.651	0.034	-5.846	0.067	
OGLE-LMC-CEP-2812	5.97	0.37	1.778	0.012	3.549	0.050	5740	120	-4.76	0.11	-4.04	0.15	0.711	0.039	-5.862	0.068	
OGLE-LMC-CEP-2813	5.54	0.37	1.738	0.012	3.496	0.047	5840	110	-4.60	0.11	-3.92	0.14	0.683	0.035	-5.669	0.070	
OGLE-LMC-CEP-2826	5.27	0.40	1.618	0.014	3.249	0.047	5820	110	-3.98	0.11	-3.28	0.14	0.697	0.034	-5.063	0.077	
OGLE-LMC-CEP-2871	5.35	0.46	1.698	0.016	3.418	0.049	5840	110	-4.41	0.12	-3.72	0.14	0.680	0.034	-5.466	0.087	
OGLE-LMC-CEP-2884	5.45	0.43	1.810	0.014	3.600	0.054	5700	140	-4.90	0.12	-4.17	0.16	0.723	0.046	-6.025	0.075	
OGLE-LMC-CEP-2903	5.24	0.38	1.596	0.013	3.234	0.047	5910	110	-3.92	0.11	-3.26	0.14	0.667	0.034	-4.964	0.073	
OGLE-LMC-CEP-2934	5.29	0.43	1.708	0.016	3.439	0.048	5840	110	-4.46	0.11	-3.77	0.14	0.682	0.035	-5.520	0.083	
OGLE-LMC-CEP-2941	5.35	0.46	1.552	0.016	3.085	0.052	5730	110	-3.59	0.12	-2.87	0.15	0.718	0.034	-4.703	0.090	
OGLE-LMC-CEP-2971	5.52	0.40	1.630	0.014	3.271	0.047	5820	110	-4.04	0.11	-3.35	0.14	0.693	0.034	-5.117	0.077	
OGLE-LMC-CEP-2999	5.05	0.37	1.648	0.013	3.208	0.046	5490	110	-3.94	0.11	-3.15	0.14	0.781	0.034	-5.150	0.072	
OGLE-LMC-CEP-3024	5.41	0.46	1.782	0.013	3.545	0.045	5710	110	-4.76	0.10	-4.04	0.13	0.717	0.035	-5.874	0.070	
OGLE-LMC-CEP-3028	5.36	0.47	1.631	0.017	3.324	0.051	5970	110	-4.15	0.12	-3.51	0.15	0.642	0.034	-5.147	0.091	
OGLE-LMC-CEP-3039	5.57	0.50	1.560	0.019	3.128	0.055	5820	110	-3.68	0.13	-2.99	0.16	0.693	0.034	-4.76	0.10	
OGLE-LMC-CEP-3064	5.32	0.40	1.602	0.014	3.196	0.048	5760	110	-3.86	0.11	-3.15	0.14	0.710	0.034	-4.963	0.077	
OGLE-LMC-CEP-3092	5.72	0.39	1.635	0.014	3.308	0.047	5900	110	-4.12	0.11	-3.45	0.14	0.667	0.034	-5.160	0.076	
OGLE-LMC-CEP-3150	5.46	0.40	1.610	0.014	3.231	0.047	5820	110	-3.94	0.11	-3.25	0.14	0.695	0.034	-5.020	0.077	
OGLE-LMC-CEP-3176	5.55	0.46	1.630	0.018	3.272	0.054	5830	110	-4.04	0.13	-3.35	0.16	0.691	0.034	-5.118	0.096	
OGLE-LMC-CEP-3185	5.41	0.45	1.610	0.017	3.273	0.051	5950	110	-4.02	0.12	-3.37	0.15	0.650	0.034	-5.039	0.090	
OGLE-LMC-CEP-3198	5.70	0.55	1.593	0.021	3.204	0.056	5840	110	-3.87	0.14	-3.19	0.16	0.684	0.034	-4.93	0.11	
OGLE-LMC-CEP-3202	5.65	0.64	1.649	0.025	3.334	0.065	5890	110	-4.18	0.16	-3.51	0.19	0.672	0.036	-5.22	0.13	
OGLE-LMC-CEP-3236	5.37	0.49	1.564	0.018	3.121	0.055	5770	110	-3.67	0.13	-2.96	0.16	0.711	0.034	-4.77	0.10	
OGLE-LMC-CEP-3260	5.73	0.42	1.685	0.015	3.358	0.048	5720	110	-4.27	0.11	-3.55	0.14	0.716	0.034	-5.383	0.080	
OGLE-LMC-CEP-3285	6.18	0.36	1.772	0.012	3.550	0.049	5800	120	-4.74	0.11	-4.06	0.15	0.694	0.037	-5.831	0.070	
OGLE-LMC-CEP-3317	6.05	0.36	1.769	0.011	3.512	0.046	5680	110	-4.66	0.10	-3.93	0.14	0.731	0.035	-5.805	0.066	
OGLE-LMC-CEP-3335	5.89	0.41	1.742	0.016	3.475	0.057	5740	120	-4.57	0.13	-3.85	0.17	0.712	0.038	-5.670	0.094	
OGLE-LMC-CEP-3423	5.11	0.42	1.599	0.014	3.179	0.048	5720	110	-3.82	0.11	-3.10	0.14	0.722	0.034	-4.941	0.079	
OGLE-LMC-CEP-3453	5.04	0.40	1.539	0.014	3.067	0.048	5760	110	-3.54	0.11	-2.83	0.14	0.712	0.034	-4.646	0.077	
OGLE-LMC-CEP-3484	5.82	0.36	1.743	0.012	3.470	0.047	5730	110	-4.55	0.11	-3.84	0.14	0.718	0.035	-5.671	0.071	
OGLE-LMC-CEP-3487	5.88	0.42	1.758	0.014	3.513	0.053	5770	130	-4.66	0.12	-3.95	0.16	0.705	0.040	-5.756	0.080	
OGLE-LMC-CEP-3518	5.75	0.36	1.752	0.012	3.479	0.047	5690	110	-4.58	0.11	-3.86	0.14	0.726	0.034	-5.715	0.070	
OGLE-LMC-CEP-3533	6.05	0.42	1.885	0.013	3.652	0.075	5390	180	-5.04	0.17	-4.20	0.23	0.838	0.057	-6.343	0.095	
OGLE-LMC-CEP-3565	6.17	0.38	1.789	0.013	3.570	0.053	5750	120	-4.81	0.12	-4.10	0.16	0.709	0.040	-5.917	0.076	
OGLE-LMC-CEP-3646	5.71	0.36	1.783	0.013	3.577	0.051	5800	120	-4.82	0.12	-4.13	0.15	0.690	0.037	-5.897	0.073	
OGLE-LMC-CEP-3677	5.94	0.37	1.756	0.013	3.490	0.048	5690	110	-4.61	0.11	-3.88	0.14	0.727	0.036	-5.743	0.073	
OGLE-LMC-CEP-3832	5.63	0.37	1.849	0.012	3.569	0.057	5360	140	-4.84	0.13	-4.00	0.17	0.839	0.044	-6.149	0.076	
OGLE-LMC-CEP-3960	5.44	0.35	1.793	0.012	3.565	0.048	5700	120	-4.80	0.11	-4.08	0.14	0.718	0.036	-5.920	0.068	
OGLE-LMC-CEP-3991	5.83	0.41	1.733	0.013	3.488	0.049	5850	110	-4.58	0.11	-3.90	0.14	0.680	0.036	-5.643	0.076	
OGLE-LMC-CEP-4033	6.06	0.36	1.818	0.012	3.603	0.050	5660	120	-4.89	0.11	-4.15	0.15	0.742	0.038	-6.045	0.070	
OGLE-LMC-CEP-4041	5.43	0.45	1.624	0.016	3.246	0.049	5770	110	-3.98	0.12	-3.27	0.14	0.709	0.034	-5.081	0.087	
OGLE-LMC-CEP-4042	5.29	0.42	1.587	0.015	3.166	0.049	5770	110	-3.78	0.12	-3.07	0.14	0.712	0.034	-4.890	0.083	
OGLE-LMC-CEP-4062	5.38	0.45	1.567	0.017	3.169	0.052	5910	110	-3.77	0.12	-3.11	0.15	0.667	0.034	-4.813	0.092	
OGLE-LMC-CEP-4094	5.40	0.45	1.567	0.016	3.149	0.052	5850	110	-3.73	0.12	-3.05	0.15	0.685	0.034	-4.799	0.090	
OGLE-LMC-CEP-4143	5.70	0.39	1.822	0.013	3.618	0.056	5680	140	-4.94	0.13	-4.21	0.17	0.731	0.044	-6.090	0.078	
OGLE-LMC-CEP-4153	5.84	0.35	1.794	0.012	3.557	0.048	5670	110	-4.78	0.11	-4.04	0.14	0.737	0.036	-5.928	0.069	
OGLE-LMC-CEP-4176	5.85	0.35	1.780	0.011	3.562	0.047	5770	110	-4.78	0.11	-4.08	0.14	0.702	0.035	-5.874	0.067	
OGLE-LMC-CEP-4194	5.86	0.37	1.774	0.012	3.558	0.049	5800	120	-4.77	0.11	-4.07	0.14	0.694	0.036	-5.853	0.071	
OGLE-LMC-CEP-4211	5.98	0.35	1.788	0.012	3.568	0.049	5750	120	-4.80	0.11	-4.09	0.14	0.712	0.036	-5.910	0.069	
OGLE-LMC-CEP-4249	5.43	0.46	1.578	0.017	3.188	0.052	5900	110	-3.82	0.12	-3.16	0.15	0.668	0.034	-4.865	0.092	
OGLE-LMC-CEP-4257	5.18	0.43	1.585	0.016	3.222	0.051	5950	110	-3.89	0.12	-3.24	0.15	0.655	0.034	-4.912	0.088	
OGLE-LMC-CEP-4274	5.46	0.45	1.653	0.015	3.316	0.048	5800	110	-4.15	0.11	-3.45	0.14	0.696	0.034	-5.235	0.083	
OGLE-LMC-CEP-4281	5.34	0.45	1.658	0.015	3.332	0.048	5830	110	-4.19	0.11	-3.50	0.14	0.690	0.034	-5.264	0.082	
OGLE-LMC-CEP-4287	5.79	0.45	1.714	0.016	3.429	0.052	5770	110	-4.44	0.12	-3.74	0.15	0.703	0.035	-5.531	0.088	
OGLE-LMC-CEP-4293	5.49	0.45	1.592	0.017	3.209	0.052	5870	110	-3.87	0.12	-3.20	0.15	0.678	0.034	-4.932	0.090	
OGLE-LMC-CEP-4316	5.31	0.36	1.742	0.012	3.453	0.049	5680	120	-4.52	0.11	-3.80	0.14	0.728	0.036	-5.654	0.071	
OGLE-LMC-CEP-4317	6.06	0.37	1.844	0.012	3.671	0.056	5700	140	-5.07	0.13	-4.35	0.17	0.723	0.043	-6.206	0.077	
OGLE-LMC-CEP-4319	5.80	0.40	1.706	0.014	3.416	0.048	5780	110	-4.40	0.11	-3.70	0.14	0.703	0.035	-5.500	0.079	
OGLE-LMC-CEP-4330	5.33	0.40	1.634	0.014	3.267	0.046	5770	110	-4.03	0.11	-3.32	0.14	0.708	0.033	-5.132	0.075	
OGLE-LMC-CEP-4396	5.48	0.44	1.613	0.016	3.232	0.050	5800	110	-3.94	0.12	-3.25	0.15	0.699	0.034	-5.031	0.086	
OGLE-LMC-CEP-4402	5.87	0.35	1.788	0.011	3.571	0.049	5740	120	-4.81	0.11	-4.10	0.14	0.706	0.038	-5.911	0.067	
OGLE-LMC-CEP-4409	5.63	0.37	1.702	0.013	3.360	0.047	5630	110	-4.29	0.11	-3.55	0.14	0.745	0.034	-5.445	0.072	
OGLE-LMC-CEP-4414	5.85	0.40	1.682	0.013	3.362	0.046	5760	110	-4.27	0.11	-3.57	0.14	0.706	0.034	-5.371	0.074	
OGLE-LMC-CEP-4440	5.42	0.40	1.629	0.014	3.256	0.046	5760	110	-4.00	0.11	-3.29	0.14	0.710	0.033	-5.105	0.075	
OGLE-LMC-CEP-4465	5.33	0.43	1.567	0.016	3.135	0.050	5800	110	-3.70	0.12	-3.00	0.15	0.705	0.034	-4.795	0.086	
OGLE-LMC-CEP-4470	5.35	0.44	1.577	0.016	3.181	0.051	5890	110	-3.80	0.12	-3.14	0.15	0.672	0.034	-4.856	0.090	
OGLE-LMC-CEP-4474	5.45	0.46	1.662	0.016	3.333	0.049	5810	110	-4.20	0.11	-3.50	0.14	0.694	0.034	-5.278	0.085	
OGLE-LMC-CEP-4475	5.31	0.40	1.584	0.014	3.170	0.049	5800	110	-3.79	0.11	-3.09	0.14	0.702	0.034	-4.880	0.080	
OGLE-LMC-CEP-4476	5.39	0.46	1.654	0.015	3.340	0.048	5870	110	-4.20	0.11	-3.52	0.14	0.677	0.034	-5.254	0.083	
OGLE-LMC-CEP-4484	5.21	0.43	1.647	0.015	3.274	0.050	5710	110	-4.06	0.12	-3.34	0.15	0.723	0.034	-5.184	0.084	
OGLE-LMC-CEP-4504	5.31	0.41	1.594	0.015	3.208	0.049	5850	110	-3.87	0.11	-3.19	0.14	0.687	0.034	-4.944	0.081	
OGLE-LMC-CEP-4512	6.10	0.36	1.793	0.013	3.569	0.058	5710	130	-4.80	0.13	-4.09	0.17	0.722	0.042	-5.929	0.081	
OGLE-LMC-CEP-4524	5.37	0.42	1.603	0.015	3.203	0.050	5770	110	-3.87	0.12	-3.17	0.15	0.708	0.034	-4.972	0.083	
OGLE-LMC-CEP-4544	4.86	0.36	1.752	0.012	3.439	0.046	5570	110	-4.50	0.10	-3.74	0.14	0.761	0.035	-5.689	0.066	
OGLE-LMC-CEP-4600	6.01	0.49	1.887	0.017	3.646	0.088	5360	200	-5.03	0.20	-4.17	0.27	0.852	0.065	-6.35	0.11	
